amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	number-of-items	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	price-designation	customized-url	customized-page 
701-3613565-8552203		2023-02-09T21:01:05+00:00	2023-02-10T22:12:06+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Standard	Letter Balloons - Custom Phrase 16" Inch Alphabet Letters & Numbers Foil Mylar Balloon - Create Your Own Balloon Banner	CUSTOMLETTERS	B08KRMCTLV	1	Shipped	1	CAD	19.99		16.99						Prince George	British Columbia	V2M 0A7	CA		false			
S01-9330542-9636628	230222UHH	2023-02-22T15:58:47+00:00	2023-02-27T21:05:10+00:00	Shipping	Amazon	Non-Amazon			Standard	-	AM-LDJU-QNAP	B078KRKQ9K		Unshipped	3										Charlotte	NC	28277	US		false			
S01-7455401-3200852	2302141JPZ	2023-02-15T01:03:52+00:00	2023-02-15T02:35:09+00:00	Cancelled	Amazon	Non-Amazon			Standard	-	AM-LDJU-QNAP	B078KRKQ9K		Unshipped	1										Charlotte	NC	28277	US		false			
S01-7794802-3023359	2302071MNK	2023-02-08T02:08:29+00:00	2023-02-27T19:56:32+00:00	Shipping	Amazon	Non-Amazon			Standard	-	AM-LDJU-QNAP	B078KRKQ9K		Unshipped	1										Charlotte	NC	28277	US		false			
S01-6093934-2628943	2301311PUR	2023-02-01T03:16:19+00:00	2023-02-28T05:53:04+00:00	Shipping	Amazon	Non-Amazon			Standard	-	AM-LDJU-QNAP	B078KRKQ9K		Unshipped	1										Charlotte	NC	28277	US		false			
114-6509308-9570625		2023-02-28T06:09:28+00:00	2023-02-28T06:09:40+00:00	Pending	Merchant	Amazon.com	WebsiteOrderChannel		Standard	600 Piece Gold Dinnerware Set - 200 White and Gold Plastic Plates - Set of 300 Gold Plastic Silverware - 100 Gold Plastic Cups - Disposable Gold Dinnerware Set for Party or Wedding up to 100 Guests	SE201G-MF	B07RKZDLWQ	1	Unshipped	1	USD	79.99	4.24							AMELIA COURT HOUSE	VA	23002-4312	US		false			
113-9018148-2697808		2023-02-28T06:02:01+00:00	2023-02-28T06:08:01+00:00	Pending	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Stately Elegance Designs 300 Piece Rose Gold Plastic Silverware Set - Includes Forks, Knives and Spoons - Rose Gold Cutlery - Heavy Duty Durable Disposable Flatware Set	SE005S	B08KD84V43	1	Unshipped	1	USD	55.95	4.28							SAINT MARYS	KS	66536-9630	US		false			
111-8463164-0400237		2023-02-28T05:58:56+00:00	2023-02-28T05:59:25+00:00	Pending	Merchant	Amazon.com	WebsiteOrderChannel		Standard	62 Inch Golf Umbrella (Red/White, 1-Pack) Sun Protection Umbrellas for Women Compact Umbrella for Travel Lightweight Umbrella Baseball Umbrella Paraguas para Lluvia	EAS.010007	B075Y4L8DC	1	Unshipped	1	USD	24.95	2.37							WALNUT	CA	91789-2006	US		false			
112-1028159-6769854		2023-02-28T05:47:37+00:00	2023-02-28T06:15:41+00:00	Pending	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Letter Balloons - Custom Phrase 16" Inch Alphabet Letters & Numbers Foil Mylar Balloon - Create Your Own Balloon Banner	CUSTOMLETTERS	B08KRMCTLV	1	Unshipped	1	USD	15.65	1.29							SULPHUR SPRINGS	TX	75482-2243	US		false		https://zme-caps.amazon.com/t/gHM4PWnQAPu6/xE6QyOBKiruK2NSzcXAfrC3ksWg8c0s-VfjF8nB6Eik/19	https://a.co/3i6YiNe
111-2653553-9751452		2023-02-28T05:29:33+00:00	2023-02-28T06:02:30+00:00	Pending	Merchant	Amazon.com	WebsiteOrderChannel		Standard	Letter Balloons - Custom Phrase 16" Inch Alphabet Letters & Numbers Foil Mylar Balloon - Create Your Own Balloon Banner	CUSTOMLETTERS	B08KRMCTLV	1	Unshipped	1	USD	22.65	1.67							SHOREVIEW	MN	55126-2991	US		false		https://zme-caps.amazon.com/t/DgOtSHCgBdGr/AXDZYwrFvnllcVXB1Mvx9vezb1kxfF2K6jAGCeAuVRI/19	https://a.co/ew7CI7B
