amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	number-of-items	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	price-designation	customized-url	customized-page 
112-0119612-2053840		2023-02-01T01:12:20+00:00	2023-02-01T15:55:14+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	"Letter Balloons - Custom Phrase 16"" Inch Alphabet Letters & Numbers Foil Mylar Balloon - Create Your Own Balloon Banner"	CUSTOMLETTERS	B08KRMCTLV	1	Shipped	1	USD	22.65	2.04							CHARLESTON	SC	29414-9206	US		FALSE		https://zme-caps.amazon.com/t/n8fzf1QgIsQ4/kxwK-KN5YeOShdby-a45C8hhuVCjWiUSUia8XCIw8n8/18	https://a.co/dFEOeQS
114-7544106-8728242		2023-02-01T01:45:15+00:00	2023-02-01T15:55:15+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	"Letter Balloons - Custom Phrase 16"" Inch Alphabet Letters & Numbers Foil Mylar Balloon - Create Your Own Balloon Banner"	CUSTOMLETTERS	B08KRMCTLV	1	Shipped	1	USD	14.65	1.17							AIKEN	SC	29803-1016	US		FALSE		https://zme-caps.amazon.com/t/bcbGDX0ma53X/EEeUyNWGqtsPwug3Lsta5bLcs5Q584XJDwOBXRrqQu4/18	https://a.co/1Z8CfV0
114-1790721-5337048		2023-02-01T01:51:48+00:00	2023-02-01T15:55:15+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	"Letter Balloons - Custom Phrase 16"" Inch Alphabet Letters & Numbers Foil Mylar Balloon - Create Your Own Balloon Banner"	CUSTOMLETTERS	B08KRMCTLV	1	Shipped	1	USD	21.65	1.84							JONESBORO	AR	72404-9510	US		FALSE		https://zme-caps.amazon.com/t/U9Dm1SDTwKoN/MbPB32NCbT9_mbp_laXtbbLfP4GnZu6b_daXCMVOnKg/18	https://a.co/eSAtBtX
114-6430123-0285047		2023-02-01T02:07:21+00:00	2023-02-01T15:55:16+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	"Letter Balloons - Custom Phrase 16"" Inch Alphabet Letters & Numbers Foil Mylar Balloon - Create Your Own Balloon Banner"	CUSTOMLETTERS	B08KRMCTLV	1	Shipped	1	USD	17.65	1.17							HOBOKEN	NJ	07030-6191	US		FALSE		https://zme-caps.amazon.com/t/SLop9iepciZP/PwlimnBxbkzBcrFKMcP_uHv9dhg367g8ym99xubI6PA/18	https://a.co/czY0jcF
113-1185436-4669016		2023-02-01T02:25:20+00:00	2023-02-01T16:06:22+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	"Letter Balloons - Custom Phrase 16"" Inch Alphabet Letters & Numbers Foil Mylar Balloon - Create Your Own Balloon Banner"	CUSTOMLETTERS	B08KRMCTLV	1	Shipped	1	USD	17.65	1.06							EAST GREENVILLE	PA	18041-2326	US		FALSE		https://zme-caps.amazon.com/t/j7cZw7qrwfB4/L_DeoDSejaTusXfffK8wocQ-4dbqQKHh8MtWyMptXw8/18	https://a.co/94bDO0H
112-0455910-9730626		2023-02-01T02:33:51+00:00	2023-02-01T15:55:14+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	"Letter Balloons - Custom Phrase 16"" Inch Alphabet Letters & Numbers Foil Mylar Balloon - Create Your Own Balloon Banner"	CUSTOMLETTERS	B08KRMCTLV	1	Shipped	1	USD	18.65	1.12							BENSALEM	PA	19020-7617	US		FALSE		https://zme-caps.amazon.com/t/DtuXnyifwsHE/WpmZrU-OX5fCDE2b8W1QkWdYX3FDNbQYT_VnDzEXhKs/18	https://a.co/dEhZiqT
114-0479241-8495421		2023-02-01T02:36:29+00:00	2023-02-01T15:55:13+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	"Letter Balloons - Custom Phrase 16"" Inch Alphabet Letters & Numbers Foil Mylar Balloon - Create Your Own Balloon Banner"	CUSTOMLETTERS	B08KRMCTLV	1	Shipped	1	USD	16.65	1.48							BRONX	NY	10463-1272	US		FALSE		https://zme-caps.amazon.com/t/bxp4z0kl81sA/hz_w7vfnGU_zcXisReUMU7msNygo5VVioGYqWPCdOjs/18	https://a.co/e5cEshc
112-2749532-0635461		2023-02-01T02:42:56+00:00	2023-02-01T16:06:34+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	"Letter Balloons - Custom Phrase 16"" Inch Alphabet Letters & Numbers Foil Mylar Balloon - Create Your Own Balloon Banner"	CUSTOMLETTERS	B08KRMCTLV	1	Shipped	1	USD	25.65	1.54							MIDDLETOWN	MD	21769-8308	US		FALSE		https://zme-caps.amazon.com/t/TUxgK1lDbYvr/L1cSXrEBChtYx53DqZjd5UKYg1F313RrvbQKmC6gctk/18	https://a.co/ihO3vKU
112-9031884-3737033		2023-02-01T03:55:34+00:00	2023-02-01T15:55:22+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	"Letter Balloons - Custom Phrase 16"" Inch Alphabet Letters & Numbers Foil Mylar Balloon - Create Your Own Balloon Banner"	CUSTOMLETTERS	B08KRMCTLV	1	Shipped	1	USD	16.65	1.58							TOPANGA	CA	90290-3268	US		FALSE		https://zme-caps.amazon.com/t/JG9qujCAGFUW/FHx3aOjWtuq_fempLBg-5uVr7QT_YXx7sa2fGHL3tek/18	https://a.co/eET8d29
111-6893386-8922615		2023-02-01T05:08:28+00:00	2023-02-04T01:33:54+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	"Letter Balloons - Custom Phrase 16"" Inch Alphabet Letters & Numbers Foil Mylar Balloon - Create Your Own Balloon Banner"	CUSTOMLETTERS	B08KRMCTLV	1	Shipped	1	USD	15.65	1.68							HAYWARD	CA	94541-5202	US		FALSE		https://zme-caps.amazon.com/t/HCLTd1B2YGpu/0DDFQ03xFNoQPd2da028ZAV9pqmnSntbHNWOkiACK50/18	https://a.co/6BgYbi8
